annee_deces,nom,sexe,date_naissance,precision_naissance,date_deces,precision_deces,age_au_deces,nb_editions_wikipedia,dates_ambigues,article_wikipedia_fr,wikidata_id
1990,Adrien Brelet,homme,1900,année,1990,année,,1,,,Q58336469
1990,Alain Touchagues,homme,1958-01-16,jour,1990,année,,1,,https://fr.wikipedia.org/wiki/Alain_Touchagues,Q107598496
1990,André Franc,homme,1911-01-11,jour,1990,décennie,,2,,,Q4759907
1990,André Leconte,homme,1894-11-22,jour,1990,année,,5,,https://fr.wikipedia.org/wiki/Andr%C3%A9_Leconte,Q20707956
1990,Anne-Marie Boumier,femme,1897,année,1990,année,,1,,https://fr.wikipedia.org/wiki/Anne-Marie_Boumier,Q2850830
1990,Benjamin Lewinski,homme,1916-05-25,jour,1990,année,,2,,,Q106146116
1990,Charles Deméry,homme,,,1990,année,,1,,,Q110842782
1990,Charles Mauu,homme,1918,année,1990,année,,3,,https://fr.wikipedia.org/wiki/Charles_Mauu,Q2959772
1990,Christian de Waldner,homme,1908,année,1990,année,,1,,https://fr.wikipedia.org/wiki/Christian_de_Waldner,Q28356025
1990,Christopher Blathwayt,homme,1912,année,1990,année,,1,,https://fr.wikipedia.org/wiki/Christopher_Blathwayt,Q2966549
1990,Clémence Jusselin,femme,1890,siècle,1990,siècle,,2,,https://fr.wikipedia.org/wiki/Cl%C3%A9mence_Jusselin,Q63340059
1990,Edmond Boulanger,homme,1928,année,1990,année,,1,,https://fr.wikipedia.org/wiki/Edmond_Boulanger,Q110303757
1990,Eugène Fidler,homme,1910,année,1990,année,,4,,https://fr.wikipedia.org/wiki/Eug%C3%A8ne_Fidler,Q764542
1990,Eugène de Villeurbanne,homme,1904,année,1990,année,,1,,,Q5850632
1990,Gilberte Lindemann,femme,1913,année,1990,année,,1,,https://fr.wikipedia.org/wiki/Gilberte_Lindemann,Q3105921
1990,Guillaume Gianinetto,homme,1920,année,1990,année,,1,,,Q73878740
1990,Gérardo Apruzzese,homme,1902,année,1990,année,,2,,,Q16073404
1990,Houari Souiah,homme,1915-09-21,jour,1990,année,,1,,https://fr.wikipedia.org/wiki/Houari_Souiah,Q21093131
1990,Jacques Berenguer,homme,1936-10-27,jour,1990,année,,1,,,Q3806015
1990,Jacques Georges Pottier,homme,1892,année,1990,année,,1,,,Q5924657
1990,Jean De Marco,homme,1898,année,1990,année,,1,,,Q62390201
1990,Jean Hiriart-Urruti Abittu,homme,1927-02-11,jour,1990,année,,1,,,Q21074473
1990,Jean Martinet,homme,1937,année,1990,année,,2,,https://fr.wikipedia.org/wiki/Jean_Martinet_(math%C3%A9maticien),Q15434272
1990,Jean Schwarz,homme,1917-08-08,jour,1990,année,,2,,https://fr.wikipedia.org/wiki/Jean_Schwarz_(rabbin),Q3174594
1990,Jean Ung Lich Ham Nghi d'Annam,homme,1910-07-06,jour,1990,année,,3,,,Q18415853
1990,Jeanne Surugue,femme,1896,année,1990,année,,1,,https://fr.wikipedia.org/wiki/Jeanne_Surugue,Q120647819
1990,Lech Wróblewski,homme,1918-11-13,jour,1990,année,,1,,,Q102175876
1990,Louis-Dominique Girard,homme,1911,année,1990,année,,1,,https://fr.wikipedia.org/wiki/Louis-Dominique_Girard,Q46255107
1990,Léon Schwarz-Abrys,homme,1905-05-05,jour,1990,année,,1,,https://fr.wikipedia.org/wiki/L%C3%A9on_Schwarz-Abrys,Q21427971
1990,Marcelle Jaulent dos Reis,femme,1892,année,1990,année,,1,,,Q61755212
1990,Marie-Antoine-Arthur-Olivier Poydenot,homme,1895,année,1990,année,,1,,,Q12795697
1990,Marthe Bréga,femme,1899,année,1990,année,,1,,https://fr.wikipedia.org/wiki/Marthe_Br%C3%A9ga,Q110953224
1990,Nadine Suarès,femme,1893-03-10,jour,1990,année,,1,,https://fr.wikipedia.org/wiki/Nadine_Suar%C3%A8s,Q3334949
1990,Nathan Gutman,homme,1914,année,1990,année,,1,,https://fr.wikipedia.org/wiki/Nathan_Gutman,Q87980676
1990,Noureddine Staifi,homme,1955,année,1990,année,,1,,,Q115283243
1990,Pierre Romans,homme,1950,année,1990,année,,3,,https://fr.wikipedia.org/wiki/Pierre_Romans,Q17497043
1990,Raymond Johanny,homme,1918,année,1990,année,,1,,,Q18784977
1990,Robert Brunschvig,homme,1901-10-06,jour,1990,année,,5,,https://fr.wikipedia.org/wiki/Robert_Brunschvig,Q12198092
1990,Robert Villecampe,homme,1912-11-04,jour,1990,année,,1,,https://fr.wikipedia.org/wiki/Robert_Villecampe,Q117194545
