year,sexe,age,deces,perimetre
1986,femmes,0,2650,France métropolitaine
1986,femmes,1,213,France métropolitaine
1986,femmes,2,150,France métropolitaine
1986,femmes,3,118,France métropolitaine
1986,femmes,4,106,France métropolitaine
1986,femmes,5,81,France métropolitaine
1986,femmes,6,86,France métropolitaine
1986,femmes,7,65,France métropolitaine
1986,femmes,8,80,France métropolitaine
1986,femmes,9,54,France métropolitaine
1986,femmes,10,58,France métropolitaine
1986,femmes,11,65,France métropolitaine
1986,femmes,12,65,France métropolitaine
1986,femmes,13,76,France métropolitaine
1986,femmes,14,115,France métropolitaine
1986,femmes,15,108,France métropolitaine
1986,femmes,16,162,France métropolitaine
1986,femmes,17,182,France métropolitaine
1986,femmes,18,222,France métropolitaine
1986,femmes,19,213,France métropolitaine
1986,femmes,20,241,France métropolitaine
1986,femmes,21,211,France métropolitaine
1986,femmes,22,209,France métropolitaine
1986,femmes,23,203,France métropolitaine
1986,femmes,24,218,France métropolitaine
1986,femmes,25,230,France métropolitaine
1986,femmes,26,227,France métropolitaine
1986,femmes,27,247,France métropolitaine
1986,femmes,28,251,France métropolitaine
1986,femmes,29,231,France métropolitaine
1986,femmes,30,256,France métropolitaine
1986,femmes,31,292,France métropolitaine
1986,femmes,32,291,France métropolitaine
1986,femmes,33,315,France métropolitaine
1986,femmes,34,358,France métropolitaine
1986,femmes,35,363,France métropolitaine
1986,femmes,36,449,France métropolitaine
1986,femmes,37,423,France métropolitaine
1986,femmes,38,477,France métropolitaine
1986,femmes,39,476,France métropolitaine
1986,femmes,40,503,France métropolitaine
1986,femmes,41,426,France métropolitaine
1986,femmes,42,463,France métropolitaine
1986,femmes,43,511,France métropolitaine
1986,femmes,44,524,France métropolitaine
1986,femmes,45,486,France métropolitaine
1986,femmes,46,603,France métropolitaine
1986,femmes,47,678,France métropolitaine
1986,femmes,48,739,France métropolitaine
1986,femmes,49,785,France métropolitaine
1986,femmes,50,911,France métropolitaine
1986,femmes,51,1007,France métropolitaine
1986,femmes,52,1044,France métropolitaine
1986,femmes,53,1191,France métropolitaine
1986,femmes,54,1289,France métropolitaine
1986,femmes,55,1398,France métropolitaine
1986,femmes,56,1478,France métropolitaine
1986,femmes,57,1555,France métropolitaine
1986,femmes,58,1705,France métropolitaine
1986,femmes,59,1813,France métropolitaine
1986,femmes,60,2043,France métropolitaine
1986,femmes,61,2045,France métropolitaine
1986,femmes,62,2247,France métropolitaine
1986,femmes,63,2418,France métropolitaine
1986,femmes,64,2746,France métropolitaine
1986,femmes,65,2939,France métropolitaine
1986,femmes,66,2760,France métropolitaine
1986,femmes,67,1876,France métropolitaine
1986,femmes,68,2021,France métropolitaine
