year,sexe,q1,median,q3,iqr,mean_age,sd
2014,femmes,78.0,86.0,90.0,12.0,81.62,13.34
2015,femmes,78.0,86.0,90.0,12.0,81.61,13.28
2016,femmes,78.0,86.0,90.0,12.0,81.58,13.36
2017,femmes,78.0,86.0,90.0,12.0,81.61,13.36
2018,femmes,78.0,86.0,90.0,12.0,81.61,13.4
2019,femmes,78.0,86.0,90.0,12.0,81.68,13.35
2020,femmes,78.0,86.0,90.0,12.0,81.63,13.12
2021,femmes,77.0,85.0,90.0,13.0,81.49,13.25
2022,femmes,77.0,86.0,90.0,13.0,81.49,13.42
2023,femmes,78.0,86.0,90.0,12.0,81.58,13.52
2024,femmes,78.0,86.0,90.0,12.0,81.6,13.51
2014,hommes,70.0,81.0,88.0,18.0,77.0,14.95
2015,hommes,70.0,81.0,88.0,18.0,76.91,15.01
2016,hommes,70.0,81.0,88.0,18.0,77.09,14.93
2017,hommes,71.0,81.0,88.0,17.0,77.21,14.9
2018,hommes,71.0,81.0,88.0,17.0,77.27,14.94
2019,hommes,71.0,82.0,88.0,17.0,77.4,14.97
2020,hommes,71.0,81.0,88.0,17.0,77.21,14.64
2021,hommes,70.0,81.0,88.0,18.0,77.09,14.82
2022,hommes,71.0,81.0,88.0,17.0,77.24,14.95
2023,hommes,71.0,82.0,88.0,17.0,77.52,14.96
2024,hommes,71.0,82.0,88.0,17.0,77.56,15.08
