geo,annee,e0_f,e0_m,e0_total
CH,2024,85.9,82.4,84.2
LI,2024,86.3,82.2,84.2
ES,2024,86.5,81.4,84.0
EFTA,2024,85.5,82.1,83.8
SE,2024,85.3,82.3,83.8
IT,2024,85.7,81.6,83.7
CY,2024,85.6,81.5,83.5
NO,2024,84.8,81.6,83.2
LU,2024,85.5,81.0,83.2
IE,2024,84.7,81.4,83.1
FR,2024,85.8,80.2,83.0
MT,2024,84.8,81.2,83.0
IS,2024,84.5,81.1,82.8
PT,2024,85.2,79.7,82.5
EA20,2024,84.8,80.0,82.4
BE,2024,84.4,80.3,82.4
EA21,2024,84.6,79.8,82.2
FI,2024,84.8,79.6,82.2
AT,2024,84.3,79.8,82.1
SI,2024,84.7,79.5,82.1
DK,2024,83.9,80.2,82.0
NL,2024,83.3,80.5,81.9
EL,2024,84.4,79.4,81.9
EU27_2020,2024,84.1,78.9,81.5
DE_TOT,2024,83.5,78.9,81.2
DE,2024,83.5,78.9,81.2
AL,2024,82.4,78.4,80.4
CZ,2024,83.0,77.1,80.1
EE,2024,83.4,75.1,79.4
TR,2024,81.7,76.4,79.0
HR,2024,81.8,76.0,78.9
PL,2024,82.2,74.8,78.5
SK,2024,81.7,75.2,78.4
ME,2024,80.1,75.2,77.6
LT,2024,81.6,73.0,77.5
HU,2024,79.9,73.7,76.8
RO,2024,80.3,72.8,76.5
LV,2024,81.2,71.4,76.4
RS,2024,78.5,73.9,76.2
BG,2024,79.5,72.2,75.8
GE,2024,79.3,70.5,74.9
