year,sexe,age,esperance
1998,femmes,65,21.2
1999,femmes,65,21.2
2000,femmes,65,21.4
2001,femmes,65,21.5
2002,femmes,65,21.4
2003,femmes,65,21.1
2004,femmes,65,22.1
2005,femmes,65,22.0
2006,femmes,65,22.7
2007,femmes,65,23.0
2008,femmes,65,23.0
2009,femmes,65,23.2
2010,femmes,65,23.4
2011,femmes,65,23.8
2012,femmes,65,23.4
2013,femmes,65,23.6
2014,femmes,65,23.3
2015,femmes,65,23.0
2016,femmes,65,23.2
2017,femmes,65,23.3
2018,femmes,65,23.4
2019,femmes,65,23.5
2020,femmes,65,22.9
2021,femmes,65,23.1
2022,femmes,65,23.0
2023,femmes,65,23.5
2024,femmes,65,23.6
1998,hommes,65,16.5
1999,hommes,65,16.6
2000,hommes,65,16.8
2001,hommes,65,17.0
2002,hommes,65,17.0
2003,hommes,65,17.0
2004,hommes,65,17.7
2005,hommes,65,17.7
2006,hommes,65,18.2
2007,hommes,65,18.4
2008,hommes,65,18.5
2009,hommes,65,18.7
2010,hommes,65,18.9
2011,hommes,65,19.3
2012,hommes,65,19.1
2013,hommes,65,19.3
2014,hommes,65,19.3
2015,hommes,65,19.1
2016,hommes,65,19.3
2017,hommes,65,19.4
2018,hommes,65,19.5
2019,hommes,65,19.6
2020,hommes,65,18.9
2021,hommes,65,19.0
2022,hommes,65,19.2
2023,hommes,65,19.7
2024,hommes,65,19.9
