year,sexe,age,esperance
1946,femmes,0,65.2
1947,femmes,0,66.7
1948,femmes,0,68.8
1949,femmes,0,67.6
1950,femmes,0,69.2
1951,femmes,0,68.9
1952,femmes,0,70.2
1953,femmes,0,70.3
1954,femmes,0,71.2
1955,femmes,0,71.5
1956,femmes,0,71.7
1957,femmes,0,72.2
1958,femmes,0,73.2
1959,femmes,0,73.4
1960,femmes,0,73.6
1961,femmes,0,74.4
1962,femmes,0,73.9
1963,femmes,0,73.8
1964,femmes,0,74.8
1965,femmes,0,74.7
1966,femmes,0,75.2
1967,femmes,0,75.2
1968,femmes,0,75.2
1969,femmes,0,75.1
1970,femmes,0,75.9
1971,femmes,0,75.9
1972,femmes,0,76.2
1973,femmes,0,76.3
1974,femmes,0,76.7
1975,femmes,0,76.9
1976,femmes,0,77.2
1977,femmes,0,77.8
1978,femmes,0,77.9
1979,femmes,0,78.3
1980,femmes,0,78.4
1981,femmes,0,78.5
1982,femmes,0,78.9
1983,femmes,0,78.8
1984,femmes,0,79.3
1985,femmes,0,79.4
1986,femmes,0,79.7
1987,femmes,0,80.3
1988,femmes,0,80.5
1989,femmes,0,80.6
1990,femmes,0,81.0
1991,femmes,0,81.2
1992,femmes,0,81.5
1993,femmes,0,81.5
1994,femmes,0,81.9
1995,femmes,0,81.9
1996,femmes,0,82.1
1997,femmes,0,82.3
1998,femmes,0,82.4
1999,femmes,0,82.5
2000,femmes,0,82.8
2001,femmes,0,82.9
2002,femmes,0,83.1
2003,femmes,0,83.0
2004,femmes,0,83.9
2005,femmes,0,83.9
2006,femmes,0,84.2
2007,femmes,0,84.4
2008,femmes,0,84.4
2009,femmes,0,84.5
2010,femmes,0,84.7
2011,femmes,0,85.0
2012,femmes,0,84.8
2013,femmes,0,85.0
2014,femmes,0,85.4
2015,femmes,0,85.1
2016,femmes,0,85.3
2017,femmes,0,85.3
2018,femmes,0,85.5
2019,femmes,0,85.6
2020,femmes,0,85.2
2021,femmes,0,85.3
2022,femmes,0,85.2
2023,femmes,0,85.7
2024,femmes,0,85.8
2025,femmes,0,85.9
1946,femmes,1,68.9
1947,femmes,1,70.0
1948,femmes,1,71.2
1949,femmes,1,70.2
1950,femmes,1,71.4
1951,femmes,1,71.0
1952,femmes,1,72.1
1953,femmes,1,71.8
1954,femmes,1,72.8
1955,femmes,1,73.0
1956,femmes,1,72.9
1957,femmes,1,73.4
1958,femmes,1,74.3
1959,femmes,1,74.3
1960,femmes,1,74.4
1961,femmes,1,75.1
1962,femmes,1,74.6
1963,femmes,1,74.3
1964,femmes,1,75.2
1965,femmes,1,75.0
1966,femmes,1,75.5
1967,femmes,1,75.4
1968,femmes,1,75.5
1969,femmes,1,75.4
1970,femmes,1,76.1
1971,femmes,1,76.1
1972,femmes,1,76.3
1973,femmes,1,76.4
1974,femmes,1,76.7
1975,femmes,1,76.8
1976,femmes,1,77.1
1977,femmes,1,77.6
1978,femmes,1,77.7
1979,femmes,1,78.0
1980,femmes,1,78.1
1981,femmes,1,78.1
1982,femmes,1,78.5
1983,femmes,1,78.4
1984,femmes,1,78.9
1985,femmes,1,79.0
1986,femmes,1,79.3
1987,femmes,1,79.8
1988,femmes,1,80.0
1989,femmes,1,80.2
1990,femmes,1,80.5
1991,femmes,1,80.7
1992,femmes,1,80.9
1993,femmes,1,80.9
1994,femmes,1,81.3
1995,femmes,1,81.3
1996,femmes,1,81.4
1997,femmes,1,81.7
1998,femmes,1,81.8
1999,femmes,1,81.8
2000,femmes,1,82.1
2001,femmes,1,82.3
2002,femmes,1,82.4
2003,femmes,1,82.3
2004,femmes,1,83.2
