year,esperance
1816,40.1
1817,39.23
1818,38.6
1819,37.32
1820,39.28
1821,39.88
1822,38.37
1823,40.04
1824,39.21
1825,38.58
1826,37.8
1827,39.41
1828,37.6
1829,39.44
1830,39.63
1831,39.73
1832,35.87
1833,38.88
1834,35.09
1835,39.52
1836,42.0
1837,39.42
1838,39.37
1839,40.95
1840,40.41
1841,40.71
1842,40.03
1843,40.79
1844,42.33
1845,43.61
1846,40.7
1847,40.45
1848,40.33
1849,35.95
1850,43.31
1851,41.8
1852,41.35
1853,42.55
1854,36.16
1855,37.56
1856,40.19
1857,39.6
1858,39.71
1859,35.33
1860,43.34
1861,40.58
1862,42.7
1863,41.82
1864,42.06
1865,40.2
1866,41.82
1867,42.41
1868,40.29
1869,41.12
1870,36.52
1871,29.74
1872,42.5
1873,41.87
1874,44.29
1875,43.19
1876,43.59
1877,44.29
1878,43.37
1879,43.98
1880,42.79
1881,43.48
1882,43.14
1883,43.27
1884,42.46
1885,43.94
1886,43.17
1887,43.72
1888,44.15
1889,45.54
1890,43.43
1891,44.11
1892,43.56
1893,43.55
1894,45.49
1895,45.26
1896,47.49
1897,47.88
1898,46.01
1899,45.17
1900,45.1
1901,47.0
1902,47.98
1903,48.4
1904,48.07
1905,48.38
1906,47.73
1907,48.3
1908,49.29
1909,50.01
1910,51.35
1911,48.21
1912,51.55
1913,51.36
1914,38.23
1915,36.55
1916,39.75
1917,42.97
1918,34.84
1919,47.14
1920,51.82
1921,52.69
1922,54.89
1923,54.59
1924,55.19
1925,54.35
1926,53.96
1927,55.74
1928,55.41
1929,54.24
1930,56.8
1931,56.9
1932,57.22
1933,57.65
1934,58.3
1935,58.28
1936,58.76
1937,59.11
1938,58.93
1939,59.55
1940,49.6
1941,57.42
1942,57.44
1943,53.3
1944,47.17
1945,54.93
1946,62.36
1947,63.95
1948,65.78
1949,64.9
1950,66.38
1951,66.1
1952,67.39
1953,67.32
1954,68.19
1955,68.44
1956,68.46
1957,68.9
1958,70.11
1959,70.17
1960,70.37
1961,70.96
1962,70.47
1963,70.32
1964,71.28
1965,71.11
1966,71.51
1967,71.5
1968,71.49
1969,71.21
1970,72.09
1971,72.07
1972,72.31
1973,72.48
1974,72.8
1975,72.9
1976,73.12
1977,73.73
1978,73.84
1979,74.12
1980,74.23
1981,74.4
1982,74.77
1983,74.73
1984,75.22
1985,75.31
1986,75.58
1987,76.15
1988,76.4
1989,76.54
1990,76.84
1991,77.02
1992,77.3
1993,77.35
1994,77.77
1995,77.87
1996,78.06
1997,78.42
1998,78.59
1999,78.75
2000,79.04
2001,79.22
2002,79.41
2003,79.42
2004,80.34
2005,80.34
2006,80.74
2007,80.96
2008,81.04
2009,81.16
2010,81.4
2011,81.78
2012,81.74
2013,81.98
2014,82.44
2015,82.15
2016,82.4
2017,82.44
2018,82.57
2019,82.73
2020,82.2
2021,82.32
2022,82.48
2023,83.33
