year,sexe,age,esperance
1998,femmes,0,82.6
1999,femmes,0,82.7
2000,femmes,0,83.0
2001,femmes,0,83.0
2002,femmes,0,83.0
2003,femmes,0,82.7
2004,femmes,0,83.8
2005,femmes,0,83.8
2006,femmes,0,84.5
2007,femmes,0,84.8
2008,femmes,0,84.8
2009,femmes,0,85.0
2010,femmes,0,85.3
2011,femmes,0,85.7
2012,femmes,0,85.4
2013,femmes,0,85.6
2014,femmes,0,85.4
2015,femmes,0,85.1
2016,femmes,0,85.3
2017,femmes,0,85.3
2018,femmes,0,85.5
2019,femmes,0,85.6
2020,femmes,0,85.1
2021,femmes,0,85.2
2022,femmes,0,85.1
2023,femmes,0,85.7
2024,femmes,0,85.8
1998,femmes,1,82.0
1999,femmes,1,82.0
2000,femmes,1,82.3
2001,femmes,1,82.3
2002,femmes,1,82.3
2003,femmes,1,82.0
2004,femmes,1,83.1
2005,femmes,1,83.1
2006,femmes,1,83.7
2007,femmes,1,84.1
2008,femmes,1,84.1
2009,femmes,1,84.3
2010,femmes,1,84.5
2011,femmes,1,85.0
2012,femmes,1,84.7
2013,femmes,1,84.9
2014,femmes,1,84.7
2015,femmes,1,84.4
2016,femmes,1,84.6
2017,femmes,1,84.7
2018,femmes,1,84.8
2019,femmes,1,84.9
2020,femmes,1,84.4
2021,femmes,1,84.5
2022,femmes,1,84.4
2023,femmes,1,85.0
2024,femmes,1,85.1
1998,femmes,2,81.0
1999,femmes,2,81.1
2000,femmes,2,81.3
2001,femmes,2,81.4
2002,femmes,2,81.3
2003,femmes,2,81.1
2004,femmes,2,82.2
2005,femmes,2,82.1
2006,femmes,2,82.8
2007,femmes,2,83.1
2008,femmes,2,83.1
2009,femmes,2,83.3
2010,femmes,2,83.6
2011,femmes,2,84.0
2012,femmes,2,83.7
2013,femmes,2,83.9
2014,femmes,2,83.7
2015,femmes,2,83.4
2016,femmes,2,83.7
2017,femmes,2,83.7
2018,femmes,2,83.8
2019,femmes,2,83.9
2020,femmes,2,83.4
2021,femmes,2,83.5
2022,femmes,2,83.4
2023,femmes,2,84.0
2024,femmes,2,84.1
1998,femmes,3,80.0
1999,femmes,3,80.1
2000,femmes,3,80.3
2001,femmes,3,80.4
2002,femmes,3,80.3
2003,femmes,3,80.1
2004,femmes,3,81.2
2005,femmes,3,81.1
2006,femmes,3,81.8
2007,femmes,3,82.1
2008,femmes,3,82.1
2009,femmes,3,82.3
2010,femmes,3,82.6
2011,femmes,3,83.0
2012,femmes,3,82.7
2013,femmes,3,82.9
2014,femmes,3,82.7
2015,femmes,3,82.4
2016,femmes,3,82.7
2017,femmes,3,82.7
2018,femmes,3,82.8
2019,femmes,3,82.9
2020,femmes,3,82.4
2021,femmes,3,82.6
2022,femmes,3,82.5
2023,femmes,3,83.0
2024,femmes,3,83.1
1998,femmes,4,79.0
1999,femmes,4,79.1
2000,femmes,4,79.4
2001,femmes,4,79.4
2002,femmes,4,79.3
2003,femmes,4,79.1
2004,femmes,4,80.2
2005,femmes,4,80.1
2006,femmes,4,80.8
2007,femmes,4,81.1
2008,femmes,4,81.2
2009,femmes,4,81.3
2010,femmes,4,81.6
2011,femmes,4,82.0
2012,femmes,4,81.7
2013,femmes,4,81.9
2014,femmes,4,81.7
2015,femmes,4,81.4
2016,femmes,4,81.7
2017,femmes,4,81.7
2018,femmes,4,81.8
2019,femmes,4,81.9
2020,femmes,4,81.4
2021,femmes,4,81.6
2022,femmes,4,81.5
2023,femmes,4,82.0
2024,femmes,4,82.1
1998,femmes,5,78.0
1999,femmes,5,78.1
2000,femmes,5,78.4
2001,femmes,5,78.4
2002,femmes,5,78.4
2003,femmes,5,78.1
2004,femmes,5,79.2
2005,femmes,5,79.2
2006,femmes,5,79.8
2007,femmes,5,80.1
2008,femmes,5,80.2
2009,femmes,5,80.3
2010,femmes,5,80.6
2011,femmes,5,81.0
2012,femmes,5,80.7
2013,femmes,5,81.0
2014,femmes,5,80.7
2015,femmes,5,80.5
2016,femmes,5,80.7
2017,femmes,5,80.7
