year,naissances
1901,917075
1902,904434
1903,884498
1904,877091
1905,865604
1906,864745
1907,829632
1908,848982
1909,824739
1910,828140
1911,793506
1912,801642
1913,795851
1914,757931
1915,482968
1916,384676
1917,412744
1918,472816
1919,506960
1920,838137
1921,816555
1922,764373
1923,765888
1924,757873
1925,774455
1926,771690
1927,748102
1928,753570
1929,734140
1930,754020
1931,737611
1932,726299
1933,682394
1934,681518
1935,643870
1936,634344
1937,621453
1938,615582
1939,615599
1940,561281
1941,522261
1942,575261
1943,615780
1944,629878
1945,645899
1946,843904
1947,870472
1948,870836
1949,872661
1950,862310
1951,826722
1952,822204
1953,804696
1954,810754
1955,805917
1956,806916
1957,816467
1958,812215
1959,829249
1960,819819
1961,838633
1962,832353
1963,868876
1964,877804
1965,865688
1966,863527
1967,840568
1968,835796
1969,842245
1970,850381
1971,881284
1972,877506
1973,857186
1974,801218
1975,745065
1976,720395
1977,744744
1978,737062
1979,757354
1980,800376
1981,805483
1982,797223
1983,748525
1984,759939
1985,768431
1986,778468
1987,767828
1988,771268
1989,765473
1990,762407
1991,759056
1992,743658
1993,711610
1994,710993
1995,729609
1996,734338
1997,726768
1998,738080
1999,744791
2000,774782
2001,770945
2002,761630
2003,761464
2004,767816
2005,774355
2006,796896
2007,785985
2008,796044
2009,793420
2010,802224
2011,792996
2012,790290
2013,781621
2014,781167
2015,760421
2016,744697
2017,730242
2018,719737
2019,714029
2020,696664
2021,701819
2022,686564
2023,639533
2024,626776
2025,611000
